Timestamp,Oletko palkansaaja vai laskuttaja?,Ikä,Sukupuoli,Työkokemus,Montako vuotta olet tehnyt laskuttavaa työtä alalla?,Palvelut,"Tuntilaskutus (ALV 0%, euroina)","Vuosilaskutus (ALV 0%, euroina)",Hankitko asiakkaasi itse suoraan vai käytätkö välitysfirmojen palveluita?,Mistä asiakkaat ovat?,Työpaikka,Kaupunki,Millaisessa yrityksessä työskentelet,Työaika,Rooli,Etä- vai lähityö,Kuukausipalkka,Vuositulot,Vapaa kuvaus kokonaiskompensaatiomallista,Kilpailukykyinen,Vapaa sana,Ideoita ensi vuoden kyselyyn,Etä,Kk-tulot
2022-09-26 16:35:50.002,Palkansaaja,31-35 v,mies,12.0,,,,,,,,PK-Seutu,Konsulttitalossa,1.0,Teknologiajohtaja,Jotain siltä väliltä,6500.0,81250.0,,True,,,50/50,6770.833333333333
2022-09-26 16:37:21.049,Palkansaaja,31-35 v,mies,16.0,,,,,,,,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,Ohjelmistokehittäjä,Pääosin tai kokonaan etätyö,9000.0,117000.0,,True,,,Etä,9750.0
2022-09-26 16:38:47.396,Palkansaaja,31-35 v,mies,16.0,,,,,,,,Turku,"Tuotetalossa, jonka core-bisnes on softa",1.0,Full-stack-ohjelmistokehittäjä,Jotain siltä väliltä,5000.0,62500.0,,False,,,50/50,5208.333333333333
2022-09-26 16:39:47.534,Palkansaaja,36-40 v,mies,13.0,,,,,,,,PK-Seutu,Konsulttitalossa,1.0,Devaaja,Jotain siltä väliltä,5100.0,63750.0,,False,,,50/50,5312.5
2022-09-26 16:41:09.685,Laskuttaja,26-30 v,mies,6.0,1.0,"Data-analytiikka, Arkkitehtuuri, Data Engineering, ",90.0,160000.0,Käytän välitysfirmoja,Suomesta,,,,,,,,,,,,,,
2022-09-26 16:43:39.266,Laskuttaja,26-30 v,mies,6.0,10.0,Fullstack,80.0,100000.0,Itse,"Suomesta, Ulkomailta",,,,,,,,,,,Lykkyä tykö vapaakenttien normalisointiin! ,Tämä oli mukavan lyhyt ja ytimekäs,,
2022-09-26 16:44:27.744,Palkansaaja,36-40 v,mies,12.0,,,,,,,,PK-Seutu,Konsulttitalossa,1.0,Full-stack,Pääosin tai kokonaan etätyö,7500.0,90000.0,,True,,,Etä,7500.0
2022-09-26 16:44:49.112,Palkansaaja,31-35 v,mies,12.0,,,,,,,,Vaasa,"Tuotetalossa, jonka core-bisnes on softa",1.0,"Ohjelmistokehittäjä full-stack, laitteistokehitys, tekoäly/koneoppiminen",Pääosin tai kokonaan etätyö,3700.0,48000.0,Kuukausipalkka + vaihtelevan kokoinen joulubonus,True,,,Etä,4000.0
2022-09-26 16:45:12.422,Palkansaaja,31-35 v,mies,4.0,,,,,,,Visma,Tampere,Konsulttitalossa,1.0,Full-stack,Pääosin tai kokonaan etätyö,4600.0,57500.0,,True,,,Etä,4791.666666666667
2022-09-26 16:45:44.793,Palkansaaja,36-40 v,mies,14.0,,,,,,,,PK-Seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,,Jotain siltä väliltä,4300.0,55000.0,,False,,,50/50,4583.333333333333
