Timestamp,Palkansaaja vai laskuttaja,Oletko siirtynyt palkansaajasta laskuttajaksi tai päinvastoin 1.10.2022 jälkeen?,Ikä,Sukupuoli,Työkokemus alalta (vuosina),Koulutustaustasi,Tulojen muutos viime vuodesta (%),Montako vuotta olet tehnyt laskuttavaa työtä alalla?,Palvelut,"Tuntilaskutus (ALV 0%, euroina)","Vuosilaskutus (ALV 0%, euroina)",Hankitko asiakkaasi itse suoraan vai käytätkö välitysfirmojen palveluita?,Mistä asiakkaat ovat?,Työpaikka,Kaupunki,Millaisessa yrityksessä työskentelet?,Työaika,Kuinka suuren osan ajasta teet lähityönä toimistolla?,Rooli,Kuukausipalkka,Vuositulot,Vapaa kuvaus kokonaiskompensaatiomallista,Onko palkkasi nykyroolissasi mielestäsi kilpailukykyinen?,Onko palkkasi nykyroolissasi mielestäsi kilpailukykyinen? (muut vastaukset),Vapaa sana,Palaute,Vastauskieli,Vastaustunniste,Rooli (normalisoitu),Kk-tulot (laskennallinen),"Kk-tulot (laskennallinen, normalisoitu)"
2023-09-04 09:23:56.606,Palkansaaja,Ei,36-40,mies,13.0,Ammattikoulu,5.0,,,,,,,Mavericks,Turku,Konsulttitalossa,1.0,0.2,Full stack developer,8000.0,100000,Osa laskutuksesta,Kyllä,,,,fi,4002e856f911fb75,*Full-stack Developer,8333.333333333334,8333.333333333334
2023-09-04 09:26:51.993,Palkansaaja,Ei,26-30,mies,9.0,Tietojenkäsittelyn tradenomi,0.0,,,,,,,,Turku,Konsulttitalossa,1.0,0.0,Full-stack Developer,7000.0,85000,,Kyllä,,,,fi,9f98e866e048193e,*Full-stack Developer,7083.333333333333,7083.333333333333
2023-09-04 09:27:26.367,Laskuttaja,palkansaaja → laskuttaja,31-35,mies,11.0,DI,,0.5,Frontend,95.0,,Itse,Suomesta,,,,,,,,,,Muu,,,,fi,5edd9c2a607af530,,,
2023-09-04 09:28:10.769,Palkansaaja,Ei,31-35,mies,5.0,"Filosofian kandidaatti, tietojenkäsittelytiede",,,,,,,,,PK-seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,0.35,Full-stack developer,5200.0,63000,,Kyllä,,,,fi,f7b97a4ffaef7dd3,*Full-stack Developer,5250.0,5250.0
2023-09-04 09:28:56.952,Laskuttaja,Ei,36-40,mies,15.0,Melkein DI,0.0,2.0,Full-stack lead dev,,150000.0,Itse,Suomesta,,,,,,,,,,Muu,,,,fi,64ba71cf1135e704,,,
2023-09-04 09:29:09.717,Palkansaaja,Ei,41-45,mies,22.0,tradenomi,5.0,,,,,,,,PK-seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,0.75,Lead Developer (fronttipainotus),6300.0,80000,Ei muuta kuin palkka,Kyllä,,,,fi,ef5546d052e475af,Lead Developer (fronttipainotus),6666.666666666667,6666.666666666667
2023-09-04 09:29:34.963,Laskuttaja,Ei,31-35,mies,10.0,IT-tradenomi,10.0,2.0,Full-stack devausta,80.0,130000.0,"Itse, Käytän välitysfirmoja",Suomesta,,,,,,,,,,Muu,,,,fi,95a6b376691faa1e,,,
2023-09-04 09:29:45.706,Palkansaaja,Ei,21-25,mies,7.0,Amis,0.0,,,,,,,,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.1,Full-stack developer,4350.0,54375.0,Optiota,Kyllä,,Työn vaativuuteen & vastuihin nähden palkkaus on hyvä vaikkakin euromääräisesti saisi muualta enemmän,,fi,a92b72d161f644d7,*Full-stack Developer,4531.25,4531.25
2023-09-04 09:30:01.402,Palkansaaja,Ei,21-25,mies,2.0,Tietotekniikan kandidaatin tutkinto,133.0,,,,,,,,Jyväskylä,Konsulttitalossa,1.0,0.8,Full Stack-kehittäjä,3000.0,37500.0,,Kyllä,,,,fi,7dbd455f3d4628d8,Full Stack-kehittäjä,3125.0,3125.0
2023-09-04 09:30:36.236,Palkansaaja,Ei,31-35,mies,7.0,Amis + keskeytetty AMK,9.0,,,,,,,Gofore,Turku,Konsulttitalossa,1.0,0.1,Cloud Specialist,4600.0,57500,,Ei,,,,fi,11f273cf7c5f141f,Cloud Specialist,4791.666666666667,4791.666666666667
2023-09-04 09:30:48.157,Palkansaaja,Ei,31-35,nainen,7.0,,3.0,,,,,,,,PK-seutu,Konsulttitalossa,1.0,0.2,Senior Software Developer,5000.0,57100,,Ei,,,,fi,e7f761feddbfd009,*Senior Developer,4758.333333333333,4758.333333333333
2023-09-04 09:30:55.095,Palkansaaja,Ei,26-30,mies,5.0,"DI, Ohjelmistotekniikka, Turun Yliopisto",8.0,,,,,,,Arado,Turku,Konsulttitalossa,0.99,0.45,Senior Consultant,7300.0,87600,50% laskutuksesta tai 4000€ takuupalkka ,Kyllä,,,Kiinnostaisi nähdä miten eri teknologioiden kanssa puuhastelu vaikuttaa palkkaan,fi,2e8ef378d5c8e78b,Senior Consultant,7300.0,7373.737373737374
