Timestamp	Employee or entrepreneur	Have you switched from employment to entrepreneurship or vice versa after 1.10.2022?	Age	Gender	Relevant work experience from the industry (in years)	Education	Change in income from last year (in %)	How many years have you worked as an entrepreneur in this industry?	What services do you offer?	Hourly rate (VAT 0%, in euros)	Yearly billing (VAT 0%, in euros)	Do you use agencies or find your clients yourself?	Where are your clients from?	Company	In which city is your office?	What kind of a company you work in?	Full time / part time	How much of your work time you spend in company office? (in %)	Role / title	Monthly salary (gross, in EUR)	Yearly income (incl. bonuses, etc; in EUR)	Free description of your compensation model	Is your salary competitive?	What was left unasked that you want to answer to?	Feedback of the survey
03/09/2023 12:01:25	Employee	Yes, from entrepreneur to employee	26-30	test	6	MSc in Engineering									Capital region (Helsinki, Espoo, Vantaa)	Consulting	100	100	Test Web developer	5200	63000	Company bonus	No	Testing	Thanks for english
03/09/2023 12:02:04	Entrepreneur	Yes, from employee to entrepreneur	< 15 yrs		12			12	Web dev	240	240000	Myself	Finland												
04/09/2023 09:48:37	Employee	No	31-35	Male	14	Ylioppilas	20								Capital region (Helsinki, Espoo, Vantaa)	Product company with softaware as their core business	100	20	Backend developer	7300	250000		Yes		
04/09/2023 10:47:14	Employee	No	41-45	Male	20	BBA	0								No HQ	Product company with softaware as their core business	120	0	CTO	4500	54000		No		
04/09/2023 12:37:38	Employee	No	31-35	man	2	self-taught	5								Capital region (Helsinki, Espoo, Vantaa)	Product company with softaware as their core business	100	80	Junior Full Stack Developer	3800			Yes		
05/09/2023 11:01:44	Employee	No	36-40	Male	14	MSc. in Software Engineering	0							Arado	Turku	Consulting	100	40	Fullstack developer	7100	86000	Our salary model is 50% from what we invoice (with base salary to help if there's no billable work)	Yes		Good stuff again, really nice that people find time to create and organize these surveys!
05/09/2023 12:23:29	Entrepreneur	Yes, from employee to entrepreneur	46-50	male	22	M.Sc. Computer Science	5	1	backend, architecture, project management	80	130000	Agencies	Abroad												
06/09/2023 08:31:45	Employee	No	26-30	Male	5	Bachelors degree in ICT	5								Capital region (Helsinki, Espoo, Vantaa)	Consulting	100	5	backend developer	3900	50000		No		
06/09/2023 10:55:16	Entrepreneur	No	36-40		15	PhD	+10	2.5	Architecture, Cloud, Data, Software Development, Big Data	120	300000	Myself	Finland, Abroad												
06/09/2023 12:02:21	Employee	No	41-45		20	Insinööri	3.5										100	20	architect	7400	91250		Yes		
