Timestamp	Oletko palkansaaja vai laskuttaja?	Oletko siirtynyt palkansaajasta laskuttajaksi tai päinvastoin 1.10.2022 jälkeen?	Ikä	Sukupuoli	Työkokemus alalta (vuosina)	Koulutustaustasi	Tulojen muutos viime vuodesta (%)	Montako vuotta olet tehnyt laskuttavaa työtä alalla?	Mitä palveluja tarjoat?	Tuntilaskutus (ALV 0%, euroina)	Vuosilaskutus (ALV 0%, euroina)	Hankitko asiakkaasi itse suoraan vai käytätkö välitysfirmojen palveluita?	Mistä asiakkaat ovat?	Työpaikka	Missä kaupungissa työpaikkasi pääasiallinen toimisto sijaitsee?	Millaisessa yrityksessä työskentelet?	Työaika	Kuinka suuren osan ajasta teet lähityönä toimistolla?	Rooli / titteli	Kuukausipalkka (brutto, euroina)	Vuositulot (sis. bonukset, osingot yms, euroina)	Vapaa kuvaus kokonaiskompensaatiomallista	Onko palkkasi nykyroolissasi mielestäsi kilpailukykyinen?	Vapaa sana	Palautetta kyselystä ja ideoita ensi vuoden kyselyyn
																									
																									
04/09/2023 09:23:57	Palkansaaja	En	36-40	Mies	13	Ammattikoulu	5							Mavericks	Turku	Konsulttitalossa	100	20	Full stack developer	8000	100000	Osa laskutuksesta	Kyllä		
04/09/2023 09:26:52	Palkansaaja	En	26-30	Mies	9	Tietojenkäsittelyn tradenomi	0								Turku	Konsulttitalossa	100	0	Full-stack Developer	7000	85000		Kyllä		
04/09/2023 09:27:26	Laskuttaja	Kyllä, palkansaajasta laskuttajaksi	31-35	Mies	11	DI		0.5	Frontend	95		Itse	Suomesta												
04/09/2023 09:28:11	Palkansaaja	En	31-35	Mies	5	Filosofian kandidaatti, tietojenkäsittelytiede									PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	35	Full-stack developer	5200	63000		Kyllä		
04/09/2023 09:28:57	Laskuttaja	En	36-40	Mies	15	Melkein DI	0	2	Full-stack lead dev		150000	Itse	Suomesta												
04/09/2023 09:29:10	Palkansaaja	En	41-45	mies	22	tradenomi	5								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	75	Lead Developer (fronttipainotus)	6300	80000	Ei muuta kuin palkka	Kyllä		
04/09/2023 09:29:35	Laskuttaja	En	31-35	Mies	10	IT-tradenomi	10	2	Full-stack devausta	80	130000	Itse, Käytän välitysfirmoja	Suomesta												
04/09/2023 09:29:46	Palkansaaja	En	21-25	Mies	7	Amis	0								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	10	Full-stack developer	4350		Optiota	Kyllä	Työn vaativuuteen & vastuihin nähden palkkaus on hyvä vaikkakin euromääräisesti saisi muualta enemmän	
04/09/2023 09:30:01	Palkansaaja	En	21-25	Mies	2	Tietotekniikan kandidaatin tutkinto	133								Jyväskylä	Konsulttitalossa	100	80	Full Stack-kehittäjä	3000			Kyllä		
04/09/2023 09:30:36	Palkansaaja	En	31-35	Mies	7	Amis + keskeytetty AMK	9							Gofore	Turku	Konsulttitalossa	100	10	Cloud Specialist	4600	57500		Ei		
