Timestamp,Palkansaaja vai laskuttaja,Siirtynyt palkansaaja/laskuttaja,Ikä,Sukupuoli,Suomen kielen taito,Työkieli,Työkokemus alalta (vuosina),Vuosia nykyisellä työnantajalla,Työpaikkojen lukumäärä,Yrityksen koko,Koulutustaustasi,Opintoala,Tulojen muutos viime vuodesta (%),Montako vuotta olet tehnyt laskuttavaa työtä alalla?,Palvelut,"Tuntilaskutus (ALV 0%, euroina)","Vuosilaskutus (ALV 0%, euroina)",Laskutettavat tunnit viikossa,Viikot ilman laskutusta,Laskutustavat,Sopimuksen pituus,Hankitko asiakkaasi itse suoraan vai käytätkö välitysfirmojen palveluita?,Mistä asiakkaat ovat?,Työpaikka,Kaupunki,Millaisessa yrityksessä työskentelet?,Työaika,Kuinka suuren osan ajasta teet lähityönä toimistolla?,Rooli,Seniority,Virallinen senioriteetti,Kuukausipalkka,"Provisio (kk, brutto)",Lomaraha (EUR),Bonus (EUR),Osakkeet/optiot (EUR),Vapaa kuvaus kokonaiskompensaatiomallista,Onko palkkasi nykyroolissasi mielestäsi kilpailukykyinen?,Bonukset (kuvaus),Edut (ei luontoisedut),Vuosittaiset verovapaat edut (EUR),Luontoisedut,Käyttöjärjestelmä,Ohjelmointikieli,Web-kehykset,Data & ML,DevOps & pilvi,Tietokannat,Vapaa sana,Palaute,Vastaustunniste,Vuositulot,Rooli (normalisoitu),Kk-tulot (laskennallinen),"Kk-tulot (laskennallinen, normalisoitu)"
2026-02-09 08:08:48.457,Laskuttaja,Ei,36-40,mies,Yes,Both,10.0,4.0,4.0,1,"Bachelor’s degree – AMK (insinööri, tradenomi, etc.)",Arts and Humanities,-5.0,4.0,Fullstack development with backend focus,85.0,100000.0,30.0,9.0,Hourly billing,3-6 months,"Myself, Agencies",Suomesta,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,macOS,"TypeScript, Python, Go",,"SQL, Kafka, scikit-learn","CI/CD (GitHub Actions, GitLab CI, Jenkins), AWS","PostgreSQL, Tiger Data (Timescale)",,,2a27944c9ee50d0c,,,,
2026-02-09 08:10:51.389,Palkansaaja,Ei,46-50,mies,Yes,Both,20.0,4.0,5.0,11-50,"Bachelor’s degree – AMK (insinööri, tradenomi, etc.)",Information and Communication Technologies (ICT / Computer Science),21.0,,,,,,,,,,,,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.2,0.1,"Founder, Technology or Otherwise",Manager or People Lead,Yes,7000.0,0.0,3500.0,0.0,0.0,,Alle markkinatason,Lomaraha (Holiday bonus),"Health insurance, Work laptop, Free gym membership, Fixed-line internet to your home, Monitors for home office",,Limited car benefit,macOS,TypeScript,"React, Svelte",,"CI/CD (GitHub Actions, GitLab CI, Jenkins), Google Cloud Platform (GCP)","PostgreSQL, Firestore",,,0ccb0b24699bc2c0,87500.0,"Founder, Technology or Otherwise",7291.666666666667,6076.38888888889
2026-02-09 08:13:13.891,Palkansaaja,Ei,36-40,mies,Yes,Both,14.0,3.0,5.0,3-5,"Master’s degree – university (FM, KTM, DI, etc.)",Information and Communication Technologies (ICT / Computer Science),0.0,,,,,,,,,,,,Turku,"Tuotetalossa, jonka core-bisnes on softa",1.12,0.2,AI/ML Engineer,Staff / Principal / Lead,No,6000.0,0.0,3100.0,0.0,0.0,,Alle markkinatason,Stock options / equity,"Health insurance, Work laptop, Monitors for home office",,"Full Lunch benefit employer pays 100% (luontoisetu/fringe benefit), Mobile phone with paid plan (Select only if 20 € puhelinetu on payslip)",macOS,"TypeScript, Python","React, Next.js, Django",,"Docker, Kubernetes, CI/CD (GitHub Actions, GitLab CI, Jenkins)",PostgreSQL,,"Kiitos, tämä on tärkeä kysely!",16a59d6a893866f2,75100.0,AI/ML Engineer,6258.333333333333,5587.797619047618
2026-02-09 08:14:20.316,Palkansaaja,Ei,26-30,mies,Yes,Both,6.0,4.0,3.0,501-1000,"Master’s degree – university (FM, KTM, DI, etc.)",Information and Communication Technologies (ICT / Computer Science),0.0,,,,,,,,,,,,Tampere,Konsultointi,1.0,0.05,"Developer, Backend",Senior,Yes,4900.0,0.0,2940.0,9805.0,0.0,,Markkinataso,"Lomaraha (Holiday bonus), Individual performance bonus, Company performance bonus","Health insurance, Work laptop, Training/Courses/Education budget, Other tools like high-end keyboard, mouse etc, Monitors for home office, Snacks and beverages in office",1000.0,"Partial Lunch benefit employer pays 25% (lounasvähennys/lunch deduction), Mobile phone with paid plan (Select only if 20 € puhelinetu on payslip)",Windows,"TypeScript, C#","Next.js, ASP.NET Core",SQL,"Terraform, CI/CD (GitHub Actions, GitLab CI, Jenkins), Microsoft Azure",PostgreSQL,,,282df8e8786fc5e9,71545.0,"Developer, Backend",5962.083333333333,5962.083333333333
2026-02-09 08:14:32.538,Palkansaaja,Ei,41-45,mies,Yes,Finnish,20.0,10.0,4.0,101-500,"Master’s degree – university (FM, KTM, DI, etc.)",Information and Communication Technologies (ICT / Computer Science),1.25,,,,,,,,,,,,PK-seutu,"Yritys, jossa softa tukirooli",1.0,0.2,"Developer, Full-Stack",Senior,No,7000.0,0.0,5040.0,5400.0,0.0,,Markkinataso,"Lomaraha (Holiday bonus), Company performance bonus, Referral bonus (for successful hires), On-call compensation (standby pay)","Work laptop, Free office parking (during work hours), Monitors for home office",,"Partial Lunch benefit employer pays 25% (lounasvähennys/lunch deduction), Mobile phone with paid plan (Select only if 20 € puhelinetu on payslip)",macOS,"TypeScript, Java, PHP","React, Next.js, Spring Boot",,"Docker, Google Cloud Platform (GCP)",MySQL,,,6f3bb4f81f79603d,94440.0,"Developer, Full-Stack",7870.0,7870.0
2026-02-09 08:14:41.435,Palkansaaja,Ei,41-45,mies,Yes,Finnish,20.0,3.0,6.0,51-100,"Bachelor’s degree – AMK (insinööri, tradenomi, etc.)","Business, Administration, and Law",5.0,,,,,,,,,,,,Tampere,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.0,"Developer, QA or Test",Senior,No,5500.0,0.0,3000.0,2000.0,0.0,,Markkinataso,"Lomaraha (Holiday bonus), Company performance bonus, Overtime extra pay (e.g. 1.5x or 2x pay rate), Referral bonus (for successful hires)","Health insurance, Work remotely from abroad (1 week or more), Work laptop, Mobile phone with paid plan (Select only if NO 20 € puhelinetu on payslip), Home office equipment budget (chair, desk, etc.), Fixed-line internet to your home, Other tools like high-end keyboard, mouse etc, Monitors for home office",600.0,Partial Lunch benefit employer pays 25% (lounasvähennys/lunch deduction),macOS,"JavaScript, Python",,,"Docker, CI/CD (GitHub Actions, GitLab CI, Jenkins)",PostgreSQL,,,03d8b27b951c041b,71000.0,"Developer, QA or Test",5916.666666666667,5916.666666666667
2026-02-09 08:14:43.034,Laskuttaja,Ei,36-40,mies,Yes,Both,13.0,3.0,4.0,1,"Master’s degree – university (FM, KTM, DI, etc.)",Information and Communication Technologies (ICT / Computer Science),0.0,3.0,Software development full-stack,74.0,124000.0,37.5,5.0,Hourly billing,6-12 months,Agencies,Suomesta,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,Windows,"JavaScript, Java","React, Spring Boot",,"Docker, Kubernetes, CI/CD (GitHub Actions, GitLab CI, Jenkins)",Db2,,,0934d5fe86a3b35b,,,,
2026-02-09 08:16:30.363,Palkansaaja,Ei,41-45,mies,Yes,English,15.0,8.0,4.0,1001-5000,"Bachelor’s degree – AMK (insinööri, tradenomi, etc.)",Information and Communication Technologies (ICT / Computer Science),0.0,,,,,,,,,,,,PK-seutu,"Yritys, jossa softa tukirooli",1.0,0.4,"Developer, Full-Stack",Senior,Yes,4950.0,0.0,2970.0,1800.0,0.0,,Alle markkinatason,"Lomaraha (Holiday bonus), Company performance bonus","Health insurance, Work remotely from abroad (1 week or more), Work laptop",250.0,"Partial Lunch benefit employer pays 25% (lounasvähennys/lunch deduction), Mobile phone with paid plan (Select only if 20 € puhelinetu on payslip)",macOS,"JavaScript, TypeScript","React, Node.js",,"CI/CD (GitHub Actions, GitLab CI, Jenkins), AWS",DynamoDB,,"AI usage would be maybe interesting info maybe. Holiday bonus could have option as ""bonus as days off"" or something if one chooses to rather have 6/12 extra vacation days instead of money if company allows it.",b03e28d1db6f71dc,64170.0,"Developer, Full-Stack",5347.5,5347.5
2026-02-09 08:19:04.143,Palkansaaja,Ei,26-30,mies,Yes,Both,5.0,4.0,2.0,101-500,"Master’s degree – university (FM, KTM, DI, etc.)","Engineering, Manufacturing, and Construction",9.0,,,,,,,,,,,,PK-seutu,Konsultointi,1.0,0.9,"Developer, QA or Test",Senior,No,4925.0,0.0,2955.0,0.0,0.0,,Markkinataso,"Lomaraha (Holiday bonus), Referral bonus (for successful hires)","Health insurance, Work remotely from abroad (1 week or more), Work laptop, Free gym membership, Training/Courses/Education budget, Snacks and beverages in office, Public transport subsidy (tax-free)",800.0,"Partial Lunch benefit employer pays 25% (lounasvähennys/lunch deduction), Mobile phone with paid plan (Select only if 20 € puhelinetu on payslip)",Windows + WSL,"JavaScript, Python, Robot Framework","React, Node.js, Django","SQL, Pandas / NumPy","Docker, Kubernetes, CI/CD (GitHub Actions, GitLab CI, Jenkins)",,"""Number of change negotiations in your company during the last two calendar years"" or something to showcase the volatility of the market. We've had two.",Excellent survey.,df9e0d7f7c623cb6,62055.0,"Developer, QA or Test",5171.25,5171.25
2026-02-09 08:21:01.882,Palkansaaja,Ei,31-35,mies,Yes,Both,15.0,3.0,3.0,51-100,Doctorate (PhD / tohtori),"Natural Sciences, Mathematics, and Statistics",0.0,,,,,,,,,,,,Tampere,Konsultointi,1.2,0.1,AI/ML Engineer,Staff / Principal / Lead,Yes,7200.0,4000.0,0.0,0.0,0.0,,Markkinataso,"Lomaraha (Holiday bonus), Stock options / equity, Profit sharing, Commission (sales or performance-based), Referral bonus (for successful hires)","Health insurance, Work remotely from abroad (1 week or more), Work laptop, Mobile phone with paid plan (Select only if NO 20 € puhelinetu on payslip), Free office parking (during work hours), Monitors for home office, Snacks and beverages in office",200.0,"Partial Lunch benefit employer pays 25% (lounasvähennys/lunch deduction), Mobile phone with paid plan (Select only if 20 € puhelinetu on payslip)",macOS,"TypeScript, Python, C++","React, Next.js, FastAPI","SQL, Apache Spark, Airflow","Docker, CI/CD (GitHub Actions, GitLab CI, Jenkins), Microsoft Azure","PostgreSQL, Redis, InfluxDB",,,92e582269ffe7a6d,86400.0,AI/ML Engineer,7200.0,6000.0
