Timestamp	Oletko palkansaaja vai laskuttaja?	Ikä	Sukupuoli	Työkokemus	Montako vuotta olet tehnyt laskuttavaa työtä alalla?	Mitä palveluja tarjoat?	Tuntilaskutus (ALV 0%, euroina)	Vuosilaskutus (ALV 0%, euroina)	Hankitko asiakkaasi itse suoraan vai käytätkö välitysfirmojen palveluita?	Mistä asiakkaat ovat?	Työpaikka	Missä kaupungissa työpaikkasi pääasiallinen toimisto sijaitsee?	Millaisessa yrityksessä työskentelet	Työaika (jos työsuhteessa)	Rooli	Etänä vai lähityössä?	Kuukausipalkka (brutto, euroina)	Vuositulot (sis. bonukset, osingot yms, euroina)	Vapaa kuvaus kokonaiskompensaatiomallista	Onko palkkasi nykyroolissasi mielestäsi kilpailukykyinen?	Vapaa sana	Ideoita ensi vuoden kyselyyn
26/09/2022 16:34:44	Palkansaaja	31-35 v	Mies	13								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Backend	Jotain siltä väliltä	6500	260000	Palkka, päivystyskorvaukset, bonus 0-100% vuosipalkasta, osakkeet (myynti ja osingot)	Kyllä		
26/09/2022 16:35:50	Palkansaaja	31-35 v	Mies	12							-	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Teknologiajohtaja	Jotain siltä väliltä	6500	81250		Kyllä		
26/09/2022 16:37:21	Palkansaaja	31-35 v	Mies	16								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Ohjelmistokehittäjä	Pääosin tai kokonaan etätyö	9000	117000		Kyllä		
26/09/2022 16:38:47	Palkansaaja	31-35 v	Mies	16								Turku	Tuotetalossa, jonka core-bisnes on softa	100%	full-stack-ohjelmistokehittäjä	Jotain siltä väliltä	5000	62500		Ei		
26/09/2022 16:39:48	Palkansaaja	36-40 v	Mies	13								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Devaaja	Jotain siltä väliltä	5100	63750		Ei		
26/09/2022 16:41:10	Laskuttaja	26-30 v	Mies	6	1	Data-analytiikka, Arkkitehtuuri, Data Engineering, 	90	160000	Käytän välitysfirmoja	Suomesta												
26/09/2022 16:43:39	Laskuttaja	26-30 v	mies	6	10	Fullstack	80	100000	Itse	Suomesta, Ulkomailta											Lykkyä tykö vapaakenttien normalisointiin! 	Tämä oli mukavan lyhyt ja ytimekäs
26/09/2022 16:44:28	Palkansaaja	36-40 v	Mies	12								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Full-stack	Pääosin tai kokonaan etätyö	7500	90000		Kyllä		
26/09/2022 16:44:49	Palkansaaja	31-35 v	Mies	12								Vaasa	Tuotetalossa, jonka core-bisnes on softa	100%	Ohjelmistokehittäjä full-stack, laitteistokehitys, tekoäly/koneoppiminen	Pääosin tai kokonaan etätyö	3700	48000	Kuukausipalkka + vaihtelevan kokoinen joulubonus	Kyllä		
26/09/2022 16:45:12	Palkansaaja	31-35 v	Mies	4							Visma	Tampere	Konsulttitalossa	100%	Full-stack	Pääosin tai kokonaan etätyö	4600	57500		Kyllä		
26/09/2022 16:45:45	Palkansaaja	36-40 v	Mies	14								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%		Jotain siltä väliltä	4300	55000		Ei		
26/09/2022 16:46:31	Palkansaaja	36-40 v		1								Turku	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Software-engineer	Pääosin tai kokonaan toimistolla	3500	45000		Kyllä		
26/09/2022 16:46:54	Palkansaaja	26-30 v	nainen	8								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Lead Developer	Jotain siltä väliltä	5500	68750	osakkeita	Ei		
26/09/2022 16:48:57	Laskuttaja	36-40 v	Mies	14	1	Full-stack developer ja arkkitehti	95	150000	Käytän välitysfirmoja	Suomesta												
26/09/2022 16:49:55	Palkansaaja	31-35 v	Mies	0							Talenom	Oulu	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Ohjelmistokehittäjä	Pääosin tai kokonaan toimistolla	2600	32500		Kyllä		
26/09/2022 16:51:48	Palkansaaja	36-40 v	Mies	12								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Full-stack / Arkkitehti	Pääosin tai kokonaan etätyö	5000	62500	Nolla	Ei		
26/09/2022 16:52:42	Palkansaaja	26-30 v	Mies	7								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	full-stack fronttipainotuksella	Pääosin tai kokonaan toimistolla	5100	63750	Lisäksi henkilöstöannin kautta osakkeita käytännössä verojen hinnalla (startup) - vaikea arvioida määrää	Kyllä		
26/09/2022 16:56:41	Palkansaaja	26-30 v	Mies	8								Turku	Konsulttitalossa	100%	Ohjelmistokehittäjä	Jotain siltä väliltä	4150	56500				
