Timestamp	Oletko palkansaaja vai laskuttaja?	Oletko siirtynyt palkansaajasta laskuttajaksi tai päinvastoin 1.10.2023 jälkeen?	Ikä	Sukupuoli	Työkokemus alalta (vuosina)	Koulutustaustasi	Tulojen muutos viime vuodesta (%)	Montako vuotta olet tehnyt laskuttavaa työtä alalla?	Mitä palveluja tarjoat?	Tuntilaskutus (ALV 0%, euroina)	Vuosilaskutus (ALV 0%, euroina)	Hankitko asiakkaasi itse suoraan vai käytätkö välitysfirmojen palveluita?	Mistä asiakkaat ovat?	Työpaikka	Missä kaupungissa työpaikkasi pääasiallinen toimisto sijaitsee?	Millaisessa yrityksessä työskentelet?	Työaika	Kuinka suuren osan ajasta teet lähityönä toimistolla?	Rooli / titteli	Kuukausipalkka (brutto, euroina)	Vuositulot (sis. bonukset, osingot yms, euroina)	Vapaa kuvaus kokonaiskompensaatiomallista	Onko palkkasi nykyroolissasi mielestäsi kilpailukykyinen?	Vapaa sana	Palautetta kyselystä ja ideoita ensi vuoden kyselyyn
07/10/2024 10:04:36	Palkansaaja	En	46-50	mies	27	ylioppilas	3								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	80	Senior Fullstack Developer	7250	96000	Palkka + Bonus + Osingot	Kyllä		
07/10/2024 10:05:39	Palkansaaja	En	46-50		25		3								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	37.5	50		8750	110000	Palkka + vuosibonus	Kyllä		
07/10/2024 10:06:12	Palkansaaja	En	31-35	mies	11	tietotekniikan kandidaatti	2								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	10	Site Reliability Engineer	5100	65200		Kyllä		
07/10/2024 10:07:01	Palkansaaja	En	36-40	Mies	12	Ylioppilas	0								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	5	Fullstack developer 	5850	105000	Palkka+osinko	Kyllä		
07/10/2024 10:07:20	Palkansaaja	En	41-45	mies	15	DI									Tampere	Tuotetalossa, jonka core-bisnes on softa	100	30	Lead	6800	81600	Rahapalkka	Kyllä		
07/10/2024 10:07:35	Palkansaaja	En	41-45	nainen	9	IT-tradenomi	0								Helsinki & Tampere	Tuotetalossa, jonka core-bisnes on softa	100	20	Software developer, fullstack Clojure/script	4730	61500		Kyllä		
07/10/2024 10:07:54	Palkansaaja	En	41-45	m	14		-5							Pieni tuotetalo	PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	50	Technical project manager	6660	83250		Kyllä		
07/10/2024 10:08:41	Palkansaaja	En	31-35	Mies	13	FM (Tietojenkäsittelytiede)	0							Compile Oy	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	15	Software Specialist	7200	90000	Henkilöstörahasto bonuksille	Siinä ja siinä		
07/10/2024 10:08:49	Palkansaaja	En	36-40	m	20	DI	-100								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	100	CTO	0	0	omistaja	Ei	kiitos	
07/10/2024 10:08:55	Palkansaaja	En	36-40	Mies	15	Insinööri (AMK)	0							Exove	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	1	Senior Developer	4300			Ei		
07/10/2024 10:09:27	Laskuttaja	En	31-35	Mies	10	Lukio, alkaneet tietojenkäsittelytieteen yliopisto-opinnot mutta ei papereita	-20	5	Full stack, tech lead, AWS, pilvi, devops	85		Itse, Käytän välitysfirmoja	Suomesta												
07/10/2024 10:09:58	Laskuttaja	En	41-45	Mies	18	Tietojenkäsittelytieteen maisteri	9	6	Full stack ja DevOps.	94	200000	Käytän välitysfirmoja	Suomesta												
07/10/2024 10:10:36	Palkansaaja	En	46-50	Nainen	5	YTT	3							Futurice Oy	Tampere	Konsulttitalossa	100	10	Software developer	3923	41680		Ei		
07/10/2024 10:10:49	Palkansaaja	En	26-30	Mies	4	Tekniikan maisteritutkinto	8.5							Knowit	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	90	Test Automation Engineer	4523	59500	Palkka + edut (Edenred) suunnilleen	Varmaan saman kuin muut sisäisesti mutta vaihtamalla voisi parantua		Hyvä kysely, mukava pingi
07/10/2024 10:11:17	Palkansaaja	En	31-35	mies	5	Diplomi-insinööri	6							Solita	Jyväskylä	Konsulttitalossa	100	75	Data engineer	4550	59000		Kyllä		
07/10/2024 10:12:38	Palkansaaja	En	41-45	Mies	20	Luonnontieteiden Kandidaatti	1							SOK	PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	80	Payment Backend Developer	7400	100000	Kk-palkkaan sidottu bonus	Kyllä		
07/10/2024 10:13:20	Palkansaaja	En	36-40	Mies	14	AMK software developer	10								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	40	Senior software developer	4950	63000	Kannustepalkkio	Perhe tulee toimeen, en tiedä mitä muut saavat enkä ole erityisen kiinnostunut		Olisi mukavaa lukea millaisia etuuksia rahan lisäksi työntekijät nauttivat
07/10/2024 10:13:39	Palkansaaja	En	41-45	Mies	18	AMK insinööri	2								Oulu	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	80	0	Full stack	5100	60000		Kyllä		
07/10/2024 10:13:45	Palkansaaja	En	36-40	meis	14	FM	0								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	37.5	20	Software developer	6600	97375	Palkka, bonus	Kyllä		
07/10/2024 10:14:59	Palkansaaja	En	36-40	Mies	11	Tietojenkäsittelytiede	3								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	5	Senior ML Engineer	6400	80000	Lähinnä palkka	Kyllä		
07/10/2024 10:15:21	Laskuttaja	En	15-20	Mies	5	Peruskoulu		3	Ohjelmistokehitys, DevOps, Cloud	75		Itse, Käytän välitysfirmoja	Suomesta, Ulkomailta												
